trial_index,trial_time,response_arrow_start_angle,motion_direction,motion_coherence,estimate_x,estimate_y,reaction_time,raw_response_time,prior_std,prior_mean,subject_id,experiment_name,experiment_id,session_id,run_id
182,353.86598500004,NaN,235,0.12,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
183,355.765801000001,NaN,225,0.06,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
184,357.665848000033,NaN,235,0.12,-1.27507768055722,-2.15038994336953,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
185,359.798945999995,NaN,235,0.12,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
186,361.665533000021,NaN,225,0.06,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
187,363.598880000005,NaN,215,0.12,-1.40172922568908,-2.07006163624397,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
188,365.432214000029,NaN,235,0.12,-1.18806509233682,-2.19965936825925,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
189,367.281974000041,NaN,215,0.12,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
190,369.131975000026,NaN,245,0.24,-1.09915185340906,-2.2454098073954,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
191,370.982107000018,NaN,235,0.12,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
192,372.931770000025,NaN,215,0.06,-1.18806509233682,-2.19965936825925,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
193,374.765056000033,NaN,235,0.06,-1.09915185340906,-2.2454098073954,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
194,376.714919999999,NaN,235,0.06,-1.00848020598906,-2.28756806983492,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
195,378.631542999996,NaN,225,0.24,-1.23181774178337,-2.17545973325817,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
196,380.481529000041,NaN,225,0.06,-1.27507768055722,-2.15038994336953,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
197,382.331422000017,NaN,215,0.12,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
198,384.16492000001,NaN,225,0.12,-2.26656851792828,-1.05483039088585,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
199,386.447944000014,NaN,225,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
200,388.514542000019,NaN,235,0.06,-1.95086811971909,-1.56336610538405,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
201,390.614361000014,NaN,225,0.12,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
202,392.580967999995,NaN,225,0.06,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
203,394.580939000007,NaN,215,0.12,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
204,396.530846000009,NaN,225,0.12,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
205,398.41399000003,NaN,225,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
206,400.380651000014,NaN,215,0.12,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
